test_name,application,value,timestamp
test_random_access_0,fasttrack,0.003807687759399414,2023-11-09 03:50:11.862896
test_random_access_0,average,0.08745115598042806,2023-11-09 03:50:11.862896
test_random_access_1,aim,0.06895270347595214,2023-11-09 03:50:14.504152
test_random_access_1,mlflow,0.1886725902557373,2023-11-09 03:50:14.504152
test_random_access_1,fasttrack,0.006346511840820313,2023-11-09 03:50:14.504152
test_random_access_1,average,0.08799060185750325,2023-11-09 03:50:14.504152
test_random_access_2,aim,0.07051138877868653,2023-11-09 03:50:17.100904
test_random_access_2,mlflow,0.18454329967498778,2023-11-09 03:50:17.100904
test_random_access_2,fasttrack,0.004432010650634766,2023-11-09 03:50:17.100904
test_random_access_2,average,0.08649556636810302,2023-11-09 03:50:17.100904
test_collect_metrics_data_0,aim,0.20738060474395753,2023-11-09 03:51:03.219217
test_collect_metrics_data_0,mlflow,0.23219819068908693,2023-11-09 03:51:03.219217
test_collect_metrics_data_0,fasttrack,0.04232668876647949,2023-11-09 03:51:03.219217
test_collect_metrics_data_0,average,0.16063516139984133,2023-11-09 03:51:03.219217
test_collect_metrics_data_1,aim,0.1771251916885376,2023-11-09 03:51:07.281234
test_collect_metrics_data_1,mlflow,0.20256359577178956,2023-11-09 03:51:07.281234
test_collect_metrics_data_1,fasttrack,0.02571871280670166,2023-11-09 03:51:07.281234
test_collect_metrics_data_1,average,0.13513583342234295,2023-11-09 03:51:07.281234
test_collect_metrics_data_2,aim,0.16489758491516113,2023-11-09 03:51:11.233464
test_collect_metrics_data_2,mlflow,0.20505762100219727,2023-11-09 03:51:11.233464
test_collect_metrics_data_2,fasttrack,0.02509899139404297,2023-11-09 03:51:11.233464
test_collect_metrics_data_2,average,0.13168473243713377,2023-11-09 03:51:11.233464
test_collect_metrics_data_3,aim,0.16389589309692382,2023-11-09 03:51:15.057993
test_collect_metrics_data_3,mlflow,0.19511752128601073,2023-11-09 03:51:15.057993
test_collect_metrics_data_3,fasttrack,0.02327122688293457,2023-11-09 03:51:15.057993
test_collect_metrics_data_3,average,0.1274282137552897,2023-11-09 03:51:15.057993
test_collect_runs_data_0,aim,0.1353675127029419,2023-11-09 03:51:18.614298
test_collect_runs_data_0,mlflow,0.19997749328613282,2023-11-09 03:51:18.614298
test_collect_runs_data_0,fasttrack,0.020097112655639647,2023-11-09 03:51:18.614298
test_collect_runs_data_0,average,0.1184807062149048,2023-11-09 03:51:18.614298
test_collect_runs_data_1,aim,0.13563110828399658,2023-11-09 03:51:22.367669
test_collect_runs_data_1,mlflow,0.2128194808959961,2023-11-09 03:51:22.367669
test_collect_runs_data_1,fasttrack,0.026737403869628907,2023-11-09 03:51:22.367669
test_collect_runs_data_1,average,0.12506266434987387,2023-11-09 03:51:22.367669
test_collect_runs_data_2,aim,0.143088698387146,2023-11-09 03:51:26.226459
test_collect_runs_data_2,mlflow,0.2192617177963257,2023-11-09 03:51:26.226459
test_collect_runs_data_2,fasttrack,0.023353886604309083,2023-11-09 03:51:26.226459
test_collect_runs_data_2,average,0.12856810092926027,2023-11-09 03:51:26.226459
test_collect_runs_data_3,aim,0.13662078380584716,2023-11-09 03:51:29.893717
test_collect_runs_data_3,mlflow,0.2089754819869995,2023-11-09 03:51:29.893717
test_collect_runs_data_3,fasttrack,0.020950794219970703,2023-11-09 03:51:29.893717
test_collect_runs_data_3,average,0.12218235333760578,2023-11-09 03:51:29.893717
test_query_metrics_0,aim,0.16380271911621094,2023-11-09 03:51:31.936726
test_query_metrics_0,mlflow,0.023681116104125977,2023-11-09 03:51:31.936726
test_query_metrics_0,fasttrack,0.01662008762359619,2023-11-09 03:51:31.936726
test_query_metrics_0,average,0.0680346409479777,2023-11-09 03:51:31.936726
test_query_metrics_1,aim,0.1700679063796997,2023-11-09 03:51:34.116635
test_query_metrics_1,mlflow,0.02152400016784668,2023-11-09 03:51:34.116635
test_query_metrics_1,fasttrack,0.02623107433319092,2023-11-09 03:51:34.116635
test_query_metrics_1,average,0.07260766029357911,2023-11-09 03:51:34.116635
test_query_metrics_2,aim,0.18849167823791504,2023-11-09 03:51:36.605076
test_query_metrics_2,mlflow,0.038392496109008786,2023-11-09 03:51:36.605076
test_query_metrics_2,fasttrack,0.021798205375671387,2023-11-09 03:51:36.605076
test_query_metrics_2,average,0.08289412657419841,2023-11-09 03:51:36.605076
test_query_metrics_3,aim,0.16405491828918456,2023-11-09 03:51:38.696301
test_query_metrics_3,mlflow,0.02647101879119873,2023-11-09 03:51:38.696301
test_query_metrics_3,fasttrack,0.0184345006942749,2023-11-09 03:51:38.696301
test_query_metrics_3,average,0.0696534792582194,2023-11-09 03:51:38.696301
test_query_runs_0,aim,0.169785475730896,2023-11-09 03:51:43.017853
test_query_runs_0,mlflow,0.23358829021453859,2023-11-09 03:51:43.017853
test_query_runs_0,fasttrack,0.028631186485290526,2023-11-09 03:51:43.017853
test_query_runs_0,average,0.14400165081024172,2023-11-09 03:51:43.017853
test_query_runs_1,aim,0.14626641273498536,2023-11-09 03:51:46.888013
test_query_runs_1,mlflow,0.21427609920501708,2023-11-09 03:51:46.888013
test_query_runs_1,fasttrack,0.026065492630004884,2023-11-09 03:51:46.888013
test_query_runs_1,average,0.1288693348566691,2023-11-09 03:51:46.888013
test_query_runs_2,aim,0.1368082046508789,2023-11-09 03:51:50.493396
test_query_runs_2,mlflow,0.2007812261581421,2023-11-09 03:51:50.493396
test_query_runs_2,fasttrack,0.02277989387512207,2023-11-09 03:51:50.493396
test_query_runs_2,average,0.12012310822804768,2023-11-09 03:51:50.493396
test_query_runs_3,aim,0.13133978843688965,2023-11-09 03:51:54.043933
test_query_runs_3,mlflow,0.20137600898742675,2023-11-09 03:51:54.043933
test_query_runs_3,fasttrack,0.02219822406768799,2023-11-09 03:51:54.043933
test_query_runs_3,average,0.11830467383066812,2023-11-09 03:51:54.043933
test_iterative_access,aim,0.0742568016052246,2023-11-09 03:51:56.897284
test_iterative_access,mlflow,0.20637061595916747,2023-11-09 03:51:56.897284
test_iterative_access,fasttrack,0.0045277118682861325,2023-11-09 03:51:56.897284
test_iterative_access,average,0.09505170981089273,2023-11-09 03:51:56.897284
test_random_access_0,aim,0.07110829353332519,2023-11-09 03:51:59.628946
test_random_access_0,mlflow,0.19803380966186523,2023-11-09 03:51:59.628946
test_random_access_0,fasttrack,0.0038148164749145508,2023-11-09 03:51:59.628946
test_random_access_0,average,0.090985639890035,2023-11-09 03:51:59.628946
test_random_access_1,aim,0.08964409828186035,2023-11-09 03:52:02.748568
test_random_access_1,mlflow,0.21516270637512208,2023-11-09 03:52:02.748568
test_random_access_1,fasttrack,0.006900286674499512,2023-11-09 03:52:02.748568
test_random_access_1,average,0.10390236377716065,2023-11-09 03:52:02.748568
test_random_access_2,aim,0.059574294090271,2023-11-09 03:52:05.489491
test_random_access_2,mlflow,0.19906091690063477,2023-11-09 03:52:05.489491
test_random_access_2,fasttrack,0.0049707889556884766,2023-11-09 03:52:05.489491
test_random_access_2,average,0.08786866664886474,2023-11-09 03:52:05.489491
test_collect_metrics_data_0,aim,0.18324289321899415,2023-11-09 03:54:35.449618
test_collect_metrics_data_0,mlflow,0.23398678302764891,2023-11-09 03:54:35.449618
test_collect_metrics_data_0,fasttrack,0.02811150550842285,2023-11-09 03:54:35.449618
test_collect_metrics_data_0,average,0.14844706058502197,2023-11-09 03:54:35.449618
test_collect_metrics_data_1,aim,0.17061889171600342,2023-11-09 03:54:39.558790
test_collect_metrics_data_1,mlflow,0.21360671520233154,2023-11-09 03:54:39.558790
test_collect_metrics_data_1,fasttrack,0.025851917266845704,2023-11-09 03:54:39.558790
test_collect_metrics_data_1,average,0.1366925080617269,2023-11-09 03:54:39.558790
test_collect_metrics_data_2,aim,0.17322020530700682,2023-11-09 03:54:43.731692
